make,model,start_year,end_year,bolt_pattern_cm,oem_tire_size,oem_wheel_size,plus_tire_size,plus_wheel_size
TOYOTA,4-Runner,1996,2016,6x139.7,"225/75-15,265/70-16,31/10.50-16,225/70-16,235/60-17,265/65-17,30/10.50-17,265/70-17,32/10.50-17,235/55-18,265/60-18,30/10.50-18,275/65-18,32/11.00-18,265/50-20,245/60-20,245/60-20","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","265/70-16,31/10.50-16,225/70-16,235/60-17,265/65-17,30/10.50-17,265/70-17,32/10.50-17,235/55-18,265/60-18,30/10.50-18,275/65-18,32/11.00-18,265/50-20,245/60-20,245/60-20,285/45-22,285/45-22","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14,22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
CHEVROLET,Avalanche 1500,2002,2006,6x139.7,"265/70-16,31/10.50-16,265/70-17,32/10.50-17","16x6,16x6.5,16x7,16x7.5,16x8,16x8.5,16x9,17x7,17x7.5,17x8,17x8.5,17x9","265/60-18,30/10.50-18,285/50-20,305/40-22,305/35-24","18x7,18x7.5,18x8,18x8.5,18x9,18x9.5,18x10,20x8,20x8.5,20x9,20x9.5,20x10,20x10.5,20x11,20x12,20x14,22x9,22x9.5,22x10,22x10.5,22x11,22x12,22x14,22x16,24x10,24x10.5,24x11,24x12,24x14,24x16"
CHEVROLET,Avalanche 1500,2007,2013,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/60-18,285/55-20,33/11.50-20,285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Avalanche 2500,2002,2007,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,C1500,1988,1998,5x127,235/75-15,"15x6.5, 15x7, 15x7.5, 15x8","235/70-16,29/9.50-16,255/60-17,255/55-18,265/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,C-1500 2WD,1988,1998,5x127,235/75-15,"15x6.5, 15x7, 15x7.5, 15x8","235/70-16,29/9.50-16,255/60-17,255/55-18,255/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
GMC,C2500 6 Lug,1988,2000,6x139.7,"225/75-16,29/8.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,C-2500 6 Lug,1988,2000,6x139.7,"225/75-16,29/8.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,C2500 8 Lug,1988,2000,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,C-2500 8 Lug,1988,2000,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,C3500,1988,2000,8x165.1,"225/75-16,29/8.50-16,245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,C-3500 8 Lug,1988,2000,8x165.1,"225/75-16,29/8.50-16,245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,Canyon,2004,2008,6x139.7,"225/75-15,235/75-15,265/75-15255/55-18,265/60-18,30/10.50-18,235/50-18","15x6.5, 15x7, 15x7.5, 15x8, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","245/70-16,30/9.50-16,265/70-16,31/10.50-16,255/60-17,265/65-17,30/10.50-17,255/55-18,265/60-18,30/10.50-18,235/50-18,245/50-18,245/40-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
GMC,Canyon,2009,2012,6x139.7,"215/70-16,265/75-16,32/10.50-16,235/60-17,255/65-17,30/10.00-17,265/70-17,32/10.50-17,275/70-17,32/10.50-17,235/55-18,235/50-18,245/50-18,255/60-18,275/65-18,32/11.00-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","235/60-17,255/65-17,30/10.00-17,265/70-17,32/10.50-17,275/70-17,32/10.50-17,235/55-18,235/50-18,245/50-18,255/60-18,275/65-18,32/11.00-18,245/40-20,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
GMC,Canyon,2015,2016,6x120,"265/70-16,31/10.50-16,255/65-17,30/10.00-17,265/60-18,30/10.50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","255/65-17,30/10.00-17,265/60-18,30/10.50-18,265/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
JEEP,Cherokee,1984,2001,5x114.3,"215/75-15,225/70,15,225/75-15,225/70-16","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",225/65-17,"17x7, 17x7.5, 17x8, 17x8.5, 17x9"
JEEP,Cherokee,2014,2015,5x110,"225/65-17,245/65-17,30/9.50-17,225/60-17,225/60-18,245/60-18,225/55-18","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","225/60-18,245/60-18,225/55-18,235/45-20","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,Colorado,2004,2008,6x139.7,"235/75-15,205/75-15,225/75-15,265/75-15,235/50-17,235/60-17,265/65-17,30/10.50-17,255/60-17,235/50-18,245/45-18,255/50-18,255/55-18,265/60-18,30/10.50-18","15x6.5, 15x7, 15x7.5, 15x8, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","235/65-16,245/70-16,30/9.50-16,265/70-16,31/10.50-16,235/50-17,235/60-17,265/65-17,30/10.50-17,255/60-17,235/50-18,245/45-18,255/50-18,255/55-18,265/60-18,30/10.50-18,245/40-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,Colorado,2009,2012,6x139.7,"235/75-16,215/70-16,235/65-16,245/70-16,30/9.50-16,235/60-17,255/65-17,30/10.00-17,265/70-17,32/10.50-17,275/70-17,32/10.50-17,255/60-18,235/55-18,235/50-18,275/65-18,32/11.00-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","235/75-16,215/70-16,235/65-16,245/70-16,30/9.50-16,235/60-17,255/65-17,30/10.00-17,265/70-17,32/10.50-17,275/70-17,32/10.50-17,255/60-18,235/55-18,235/50-18,275/65-18,32/11.00-18,245/40-20,275/55-20,32/10.50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,Colorado,2015,2016,6x120,"265/70-16,31/10.50-16,255/75-17,265/60-18,30/10.50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","255/75-17,265/60-18,30/10.50-18,265/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
JEEP,Commander,2006,2010,5x127,"245/65-17,30/9.50-17,245/60-18","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10",255/50-20,"20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
JEEP,Compass,2007,2015,5x114.3,"205/70-16,215/60-17,215/65-17,235/50-18,215/55-18,235/50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","235/50-18,215/55-18,235/50-18,245/40-20","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
DODGE,Dakota 2WD,1991,2004,6x114.3,"215/75-15,245/70-16,30/9.50-16,255/65-16,255/60-17","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",255/55-18,"18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
DODGE,Dakota 2WD,2005,2011,5x139.7,"245/70-16,30/9.50-16,265/65-17,30/10.50-17,265/60-18,30/10.50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10",265/50-20,"20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
DODGE,Dakota 4WD,1991,2004,6x114.3,"215/75-15,245/70-16,30/9.50-16","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9","255/60-17,255/55-18","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
DODGE,Dakota 4WD,2005,2011,5x139.7,"265/70-16,31/10.50-16,265/65-17,30/10.50-17,265/60-18,30/10.50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10",265/50-20,"20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
FORD,Excursion,2000,2005,8x170,"265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
FORD,Expedition,1997,2002,5x135,"255/70-16,275/60-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","285/55-18,285/45-20,285/40-22,285/30-24","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
FORD,Expedition,1998,2002,,,,,
FORD,Expedition,2003,2016,6x135,"265/70-17,32/10.50-17,285/60-18,255/70-18,275/65-18,32/11.00-18,285/50-20,275/55-20,32/10.50-20,305/40-22,285/45-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","285/60-18,255/70-18,275/65-18,32/11.00-18,285/50-20,275/55-20,32/10.50-20,305/40-22,285/45-22,305/35-24,295/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
FORD,Explorer,1991,2001,5x114.3,"235/75-15,255/70-16","15x6.5,15x7,15x7.5,15x8,16x6.5,16x7,16x7.5,16x8,16x8.5",N/A,N/A
FORD,Explorer,2002,2010,5x114.3,"235/70-16,29/9.50-16,245/70-16,30/9.50-16,245/65-17,30/9.50-17,235/65-18","16x6.5,16x7,16x7.5,16x8,17x7,17x7.5,17x8,17x8.5,18x6.5,18x7,18x7.5,18x8,18x8.5",N/A,N/A
FORD,Explorer,2011,2016,5x114.3,"245/65-17,30/9.50-17,245/60-18,255/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","245/60-18,255/50-20,265/40-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
FORD,Explorer Sport Trac,2002,2010,5x114.3,"235/70-16,29/9.50-16,255/70-16,235/65-18","16x6.5,16x7,16x7.5,16x8,16x8.5,18x6.5,18x7,18x7.5,18x8,18x8.5",N/A,N/A
FORD,F-150,1991,1996,5x139.7,"235/75-15,265/75-15","15x6.5, 15x7, 15x7.5, 15x8","255/65-16,255/60-17,255/55-18,275/70-16,275/65-17,275/60-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
FORD,F-150,1997,2003,5x135,"255/70-16,235/70-16,29/9.50-16,265/70-16,31/10.50-16,275/60-17,245/65-17,30/9.50-17,285/60-17,265/70-17,32/10.50-17,275/60-18,295/45-18,255/55-18,285/60-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","275/60-17,245/65-17,30/9.50-17,285/60-17,265/70-17,32/10.50-17,275/60-18,295/45-18,255/55-18,285/60-18,275/45-20,305/35-20,265/45-20,275/55-20,32/10.50-20,285/40-22,285/45-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
FORD,F-150,2004,2005,,,,,
FORD,F-150,2004,2008,,,,,
FORD,F-150,1997,2013,,,,,
FORD,F-150,2009,2013,,,,,
FORD,F-150,2014,2014,,,,,
FORD,F-150,2004,2016,6x135,"235/70-17,235/75-17,255/65-17,30/10.00-17,255/70-17,265/70-17,32/10.50-17,245/70-17,31/9.50-17,265/60-18,30/10.50-18,275/65-18,32/11.00-18,265/50-20,275/50-20,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/40-22,285/45-22,275/45-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","265/60-18,30/10.50-18,275/65-18,32/11.00-18,265/50-20,275/50-20,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/40-22,285/45-22,275/45-22,305/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
FORD,F-150,2009,2016,,,,,
FORD,F-150,2015,2016,,,,,
FORD,F-150 7 Lug,2011,2013,7x150,"245/75-17,32/9.50-17,245/75-17,32/9.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
FORD,F-150 Raptor,2010,2016,6x135,"315/70-17,35/12.50-17","17x8.5,17x9,17x9.5,17x10","325/65-18,325/50-22","18x9,18x9.5,18x10,18x10.5,18x11,18x11.5,18x12,22x9,22x9.5,22x10,22x10.5,22x11,22x11.5,22x12"
FORD,F-250,1988,1997,8x165.1,"lt215/85-16,lt235/85-16,32/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
FORD,F-250,1999,1999,,,,,
FORD,F-250,1999,2003,,,,,
FORD,F-250,1999,2004,8x170,"235/85-16,32/9.50-16,265/75-16,32/10.50-16","17x7, 17x7.5, 17x8, 17x8.5, 17x9","265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9"
FORD,F-250,2000,2004,,,,,
FORD,F-250,2005,2007,,,,,
FORD,F-250,2008,2010,,,,,
FORD,F-250,1999,2012,,,,,
FORD,F-250,2000,2016,,,,,
